num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux
1,DEMOCRATIE ET REPUBLIQUE (anciennement Metz pour tous),2008,0,0,0,0,0,0,0,0,0,0,0,20243,0,20243,0,-1007,0,0,0,0,0,0,0,20243,182000,0,15,0,0,0,0,0,0,0,0,0,187015,0,18294,148109,133477,17700,0,0,0,0,1905,0,0,186008,-1007,373023
5,L'alliance régionale ,2008,0,0,0,0,0,0,0,0,0,13496,0,7557,0,21053,0,-781,0,0,0,1142,0,455,0,21053,0,0,0,0,11617,0,0,0,0,0,0,0,71702,0,0,0,0,70921,0,0,0,0,0,0,0,70921,-781,142623
13,Centre national des Indépendants et Paysans,2008,0,0,124651,4982,0,0,840,0,0,3582,659662,67520,2819,864056,0,-52223,0,1501,199,13207,7779,0,0,864056,0,0,0,0,143128,2587,29300,11632,861,247,0,0,206907,26711,0,0,0,10120,0,0,88800,1489,27433,0,0,154684,-52223,361591
17,COMBAT POUR LES VALEURS,2008,0,0,0,0,0,0,30,0,0,300,0,31790,883,33003,0,-14573,0,0,0,402,3231,2040,10475,33003,15658,0,0,0,10958,355,14521,4667,99,0,0,0,46259,0,0,0,0,300,0,0,0,31386,0,0,0,31686,-14573,77945
40,FRONT NATIONAL,2008,24537,0,4198171,741272,14000,717658,93728,51399,0,432154,0,491857,105078,6869854,0,-2445428,624895,0,0,1398472,517312,150658,20895,6869853,459320,0,0,535656,2805990,269290,1112068,514935,222672,108459,0,0,6299633,528368,588709,1833060,0,116964,0,15000,196224,206599,45986,86966,163809,3854207,-2445426,10153840
42,Génération écologie - Les Bleus,2008,0,0,0,0,0,0,0,0,0,288,704,4949,0,6077,2944,-867,0,0,0,2996,899,90,15,6077,0,0,0,0,11343,0,0,0,0,642,0,0,12342,4855,0,0,0,6145,0,0,0,0,203,272,0,11475,-867,23817
46,GROUPEMENT FRANCE-RÉUNION,2008,0,0,0,29065,0,22381,1761,0,0,0,44021,0,0,97227,0,-36188,0,0,9169,43016,0,7,0,97227,354,0,0,2770,13295,0,7473,2940,210,5,0,0,40521,0,0,0,0,0,0,0,0,0,4333,0,0,4333,-36188,44854
49,LE TRÈFLE-LES NOUVEAUX                                                                                    ÉCOLOGISTES-HOMME NATURE ANIMAUX,2008,0,0,0,2012,0,0,0,277,0,57206,38184,445,223,98347,0,51301,0,0,104059,57462,17846,0,0,98347,967,0,0,0,71055,0,13135,0,8808,1557,0,0,113516,0,0,163129,0,150,0,0,0,0,1538,0,0,164817,51301,278333
52,PARTI RADICAL DE GAUCHE,2008,0,0,76225,74503,0,0,73793,0,0,342548,0,547693,5761,1120523,0,35293,0,0,47112,184458,68345,192227,3421,1120523,127259,0,0,0,1365715,25016,175984,151703,13887,2196,0,0,2011904,157485,115472,1081767,578402,121499,1928,418225,22871,95534,18376,234,0,2047197,35293,4059101
53,ARIAS 94,2008,1670,0,0,1818,0,0,0,0,0,0,0,8920,0,12408,0,-3304,0,0,0,0,0,0,0,12408,27957,0,0,0,1468,0,0,0,151,0,0,0,29576,241,22441,0,0,3064,0,0,0,0,0,0,0,26272,-3304,55848
54,Mouvement d'union de gestion communale de la ville de Plan de Cuques,2008,0,0,0,0,0,0,0,0,0,0,0,8583,0,8583,14938,-6755,0,0,0,400,0,0,0,8583,0,0,0,0,958,0,0,0,2,0,0,0,9360,330,0,0,0,0,2037,0,0,0,238,0,0,2605,-6755,11965
60,PARTI COMMUNISTE FRANÇAIS,2008,0,0,6070376,695940,103251,11494547,51696,0,0,3836577,4856300,4496354,0,31922773,0,725272,48674,727361,805645,2104703,1740938,2996063,2771,31922774,2720620,0,0,927776,9506970,398115,7709434,3932562,97724,18265,0,250000,30834213,3085235,15874657,3653877,1779699,4495108,3482,0,777259,1960503,272132,250770,389767,31559485,725272,62393698
61,UNION POUR L'AVENIR DE PLOERMEL,2008,0,0,0,0,0,0,0,0,0,765,0,3803,0,4568,0,-3631,0,0,0,607,0,0,0,4568,0,0,0,0,13599,0,2770,1030,0,0,0,0,17985,0,0,0,0,0,0,0,14354,0,0,0,0,14354,-3631,32339
63,Parti communiste guadeloupéen,2008,0,0,0,57,0,0,0,0,0,3073,0,14061,0,19799,0,-1150,0,0,0,21378,0,3835,0,19799,0,0,0,11548,903559,30,0,0,91,500,0,0,939327,15964,1000,45675,44492,1515,0,0,838160,35862,1,0,0,938177,-1149,1877504
64,PARTI COMMUNISTE MARTINIQUAIS,2008,0,0,0,0,0,0,0,0,0,5488,0,1416,0,6904,0,388,0,0,22867,4774,106050,6972,0,6904,0,0,0,157,4130,0,0,0,0,0,0,0,6058,6078,0,0,0,367,0,0,0,0,0,1,0,6446,388,12504
