nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat_debut,mandat_fin
Guy Teissier,1945-04-04,13,6,union pour un mouvement populaire,168.0,4,2007-06-20,2012-06-19
Jean Proriol,1934-11-25,43,2,union pour un mouvement populaire,331.0,2,2007-06-20,2012-06-19
Sandrine Hurel,1968-08-07,76,11,"socialiste, radical, citoyen et divers gauche",633.0,2,2007-06-20,2012-06-19
Arlette Franco,1939-10-01,66,2,union pour un mouvement populaire,145.0,3,2007-06-20,2010-04-01
Pierre-Christophe Baguet,1955-05-11,92,9,union pour un mouvement populaire,291.0,2,2007-06-20,2012-06-19
Fabienne Labrette-Ménager,1961-01-08,72,1,union pour un mouvement populaire,321.0,3,2007-06-20,2012-06-19
Gilles Cocquempot,1952-10-22,62,7,"socialiste, radical, citoyen et divers gauche",632.0,2,2007-06-20,2012-06-19
Jean-Louis Léonard,1950-07-24,17,2,union pour un mouvement populaire,206.0,3,2007-06-20,2012-06-19
Josette Pons,1947-12-12,83,6,union pour un mouvement populaire,314.0,3,2007-06-20,2012-06-19
Claude Goasguen,1945-03-12,75,14,union pour un mouvement populaire,172.0,4,2007-06-20,2012-06-19
François Grosdidier,1961-02-25,57,1,union pour un mouvement populaire,215.0,3,2007-06-20,2011-09-30
Gilles Carrez,1948-08-29,94,5,union pour un mouvement populaire,176.0,3,2007-06-20,2012-06-19
Daniel Spagnou,1940-09-22,04,2,union pour un mouvement populaire,116.0,3,2007-06-20,2012-06-19
Alfred Trassy-Paillogues,1950-07-15,76,10,union pour un mouvement populaire,272.0,4,2007-06-20,2012-06-19
Louis-Joseph Manscour,1945-03-20,972,1,"socialiste, radical, citoyen et divers gauche",466.0,2,2007-06-20,2012-06-19
Françoise Hostalier,1953-08-19,59,15,union pour un mouvement populaire,266.0,2,2007-06-20,2012-06-19
Lionel Tardy,1966-06-07,74,2,union pour un mouvement populaire,157.0,1,2007-06-20,2012-06-19
Edwige Antier,1942-05-15,75,4,union pour un mouvement populaire,25.0,1,2009-07-23,2012-06-19
Anne Grommerch,1970-12-11,57,9,union pour un mouvement populaire,238.0,3,2008-11-17,2012-06-19
Guy Geoffroy,1949-05-26,77,9,union pour un mouvement populaire,198.0,2,2007-06-20,2012-06-19
Chantal Berthelot,1958-09-12,973,2,"socialiste, radical, citoyen et divers gauche",629.0,2,2007-06-20,2012-06-19
Pierre Morel-A-L'Huissier,1958-12-21,48,2,union pour un mouvement populaire,137.0,4,2007-06-20,2012-06-19
