num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux,deputes
1,democratie et republique ,2008,0,0,0,0,0,0,0,0,0,0,0,20243,0,20243,0,-1007,0,0,0,0,0,0,0,20243,182000,0,15,0,0,0,0,0,0,0,0,0,187015,0,18294,148109,133477,17700,0,0,0,0,1905,0,0,186008,-1007,373023,0
40,front national,2008,24537,0,4198171,741272,14000,717658,93728,51399,0,432154,0,491857,105078,6869854,0,-2445428,624895,0,0,1398472,517312,150658,20895,6869853,459320,0,0,535656,2805990,269290,1112068,514935,222672,108459,0,0,6299633,528368,588709,1833060,0,116964,0,15000,196224,206599,45986,86966,163809,3854207,-2445426,10153840,0
52,parti radical de gauche,2008,0,0,76225,74503,0,0,73793,0,0,342548,0,547693,5761,1120523,0,35293,0,0,47112,184458,68345,192227,3421,1120523,127259,0,0,0,1365715,25016,175984,151703,13887,2196,0,0,2011904,157485,115472,1081767,578402,121499,1928,418225,22871,95534,18376,234,0,2047197,35293,4059101,0
76,parti socialiste,2008,245377,0,14048629,2574300,1348989,1767573,492160,37495,0,3169941,6553494,11089958,276772,43828039,0,17139,325770,5604172,4765262,3411002,3484994,6180379,355383,43828040,4210924,0,0,2980479,16480733,1113355,11374928,5027410,368984,306408,0,0,59149713,12369123,13166686,22702818,12457890,1697237,66198,89885,739962,3359598,470816,712047,2192099,59166852,17139,118316565,0
95,union pour la democratie francaise,2008,118898,0,2123280,586205,15265,108992,15799,0,0,189564,19348,342950,4253,3524554,0,-859999,0,0,33532,60163,291821,8057,0,3524555,43413,0,0,0,653329,191665,1007467,583442,38212,55723,0,0,3055004,570,58405,0,0,21810,2326,0,14335,1927861,4232,9131,77949,2195004,-860000,5250008,0
104,les verts,2008,23465,0,0,2221669,103665,0,401382,37091,0,242764,40360,2004392,399,5167954,0,439834,327791,18715,2831744,12902,28184,434653,374438,5167943,197815,0,0,139039,1600842,83688,1114236,593327,125920,194490,0,0,4726927,784306,1539873,1838699,400432,232463,4097,6000,128265,286247,23892,158579,81592,5166761,439834,9893688,0
401,ump,2008,299944,0,1146947,1224247,0,1319305,934604,71244,0,672342,655430,4659159,165639,11148861,0,10304529,973455,655234,22194568,3301948,1786362,597882,125774,11148861,6539734,0,0,0,17364272,1015360,6359912,3062138,1361545,72720,0,0,41803641,5437415,1721280,34484473,21400876,7409001,239278,178332,686444,1043872,63816,102616,313417,52108172,10304531,93911813,0
455,la france en action,2008,0,0,0,4020,0,0,1000,20896,0,1700,0,1029,0,28645,0,-215078,0,0,0,4147,11566,1323127,0,28645,16593,0,0,18165,99408,253,0,0,83605,954,0,0,232194,9905,0,0,0,1451,0,0,0,0,0,2507,0,17116,-215078,249310,0
529,mouvement democrate,2008,0,0,0,3045,0,48500,508,0,0,13032,179541,112119,14391,371136,0,877814,0,0,199453,27604,1401,185621,0,371138,666317,0,0,11205,3514762,7270,0,9521,6500,224,0,0,4741354,944323,74264,4058850,1290282,166763,4957,0,169199,163773,14678,0,0,5619168,877814,10360522,0
531,nouveau centre,2008,8084,0,0,55652,0,0,15348,0,0,181646,0,102363,7917,378490,0,221687,0,0,365479,85696,81983,1034,0,378490,331301,0,0,7207,380170,24798,318686,117179,12105,0,0,0,1295448,75625,44178,0,0,37815,98,1194060,94116,71234,0,0,0,1517135,221687,2812583,0
